"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MFN";"OC-DIGIKEY";"OC-MOUSER";"OC-NEWARK";
"1";"";"IF-LPC11U35";"HVQFN33";"U4";"";"";"";"";"";"";
"3";"0";"RESISTOR0402";"0402";"R1, R6, R28";"Resistor";"";"";"";"";"";
"4";"1.5K";"RESISTOR0402";"0402";"R2, R3, R5, R8";"Resistor";"";"";"";"";"";
"2";"100nF";"CAPACITOR0402";"0402";"C10, C11";"Capacitor";"";"";"";"";"";
"2";"100nF";"CAPACITOR0603";"0603";"C2, C17";"Capacitor";"";"";"";"";"";
"2";"10K";"RESISTOR0402";"0402";"R9, R10";"Resistor";"";"";"";"";"";
"1";"10pF";"CAPACITOR0402";"0402";"C5";"Capacitor";"";"";"";"";"";
"4";"10uF";"CAPACITOR0603";"0603";"C1, C8, C9, C16";"Capacitor";"";"";"";"";"";
"1";"12MHz";"Q_3.2X2.5";"3.2X.2.5";"Q1";"";"";"";"";"";"";
"4";"18pF";"CAPACITOR0402";"0402";"C12, C13, C14, C15";"Capacitor";"";"";"";"";"";
"13";"220R";"RESISTOR0402";"0402";"R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26";"Resistor";"";"";"";"";"";
"2";"33R";"RESISTOR0402";"0402";"R4, R7";"Resistor";"";"";"";"";"";
"3";"470R";"RESISTOR0402";"0402";"R11, R12, R13";"Resistor";"";"";"";"";"";
"1";"47346-0001";"47346-0001";"USB-MICRO-B-H";"CON1";"USB Receptacle Horizontal Micro Type B";"MOLEX";"47346-0001";"";"538-47346-0001";"1568026";
"1";"5.6pF";"CAPACITOR0402";"0402";"C4";"Capacitor";"";"";"";"";"";
"1";"6.8pF";"CAPACITOR0402";"0402";"C7";"Capacitor";"";"";"";"";"";
"1";"7.5nH";"INDUCTOR0402";"0402";"L1";"Inductor";"";"";"";"";"";
"1";"82pF";"CAPACITOR0402";"0402";"C6";"Capacitor";"";"";"";"";"";
"1";"9.1pF";"CAPACITOR0402";"0402";"C3";"Capacitor";"";"";"";"";"";
"1";"AT45DB321E-SHF-B";"AT45DB321E-SHF-B";"SO8";"U3";"Serial Flash 32 Mb 85 Mhz";"Adesto Technologies";"AT45DB321E-SHF-B";"1265-1072-5-ND";"988-AT45DB321E-SHF-B";"2414318";
"6";"BAT60A";"BAT60A";"SOD323";"D1, D2, D3, D4, D5, D6";"SCHOTTKY DIODE";"Infineon";"BAT60AE6327HTSA1";"BAT60AE6327HTSA1CT-ND";"726-BAT60AE6327";"85X4127";
"1";"BLUE";"SMD_LED0603";"CHIPLED_0603";"LED4";"LED SMD, Colour Red";"Wurth Electronics Inc";"150060RS75000";"732-4978-1-ND";"710-150060RS75000";"2322071";
"1";"BSS84";"BSS84";"SOT23-3";"T1";"MOSFET P-CHANNEL";"Fairchild Semiconductor";"BSS84";"BSS84CT-ND";"512-BSS84";"58K8770";
"1";"GREEN";"SMD_LED0603";"CHIPLED_0603";"LED5";"LED SMD, Colour Red";"Wurth Electronics Inc";"150060RS75000";"732-4978-1-ND";"710-150060RS75000";"2322071";
"1";"K64F/K22F-SHIELD";"K64F/K22F-SHIELD";"K64F/K22F";"BRD1";"Shield for K64F/K22F";"";"";"";"";"";
"1";"M620720";"M620720";"M620720";"ANT1";"Chip Antenna Ceramic ISM/M2M/IoT 868/915MHz";"Ethertronics";"M620720";"939-1066-1-ND";"";"";
"1";"MTXDOT-EU1-A00-1";"MTXDOT-EU1-A00-1";"MTXDOT-EU1/NA1-A00-1";"U1";"Multitech xDOT LORA MODULE UFL/TRC 868MHz for Europe";"Multi-Tech Systems Inc.";"MTXDOT-EU1-A00-1";"591-1292-ND";"";"";
"1";"RED";"SMD_LED0603";"CHIPLED_0603";"LED3";"LED SMD, Colour Red";"Wurth Electronics Inc";"150060RS75000";"732-4978-1-ND";"710-150060RS75000";"2322071";
"1";"S2B-PH-SM4-TB(LF)(SN)";"S2B-PH-SM4-TB(LF)(SN)";"S2B-PH-SM4-TB(LF)(SN)";"CON2";"2 Position 2 mm JST PH Series Pitch Surface Mount Side Entry Shrouded Header";"JST";"S2B-PH-SM4-TB(LF)(SN)";"455-1749-1-ND";"";"38K8067";
"2";"SKRKAEE010";"SKRKAEE010";"SKRKAEE010";"RESET, SW2";"MOMENTARY SWITCH PUSH VERTICAL (SPST)";"ALPS";"SKRKAEE010";"";"688-SKRKAE";"";
"1";"SMD_LED0603";"SMD_LED0603";"CHIPLED_0603";"LED1";"LED SMD, Colour Red";"Wurth Electronics Inc";"150060RS75000";"732-4978-1-ND";"710-150060RS75000";"2322071";
"1";"SMD_LED1206";"SMD_LED1206";"CHIPLED_1206";"LED2";"LED SMD, Colour Red";"Wurth Electronics Inc";"150120GS75000";"732-4990-1-ND";"710-150120GS75000";"2322085";
"1";"TLV73333PDBVT";"TLV73333PDBVT";"SOT23-5";"U2";"LDO Fixed Regulator 3.3v, 300mA";"Texas Instruments";"TLV73333PDBVT";"296-38492-1-ND";"595-TLV73333PDBVT";"2455145";
